wikidata_qid,wikidata_name,wikidata_url,candidate_inat_ids,candidate_inat_names,correct_inat_taxon_id,notes
Q2641201,Acomys,http://www.wikidata.org/entity/Q2641201,45580;1431431,Acomys;Acomys,1431431,
Q50746351,Acritus,http://www.wikidata.org/entity/Q50746351,172724;538991,Acritus;Acritus,538991,
Q8187676,Acrobotrys,http://www.wikidata.org/entity/Q8187676,950949;1357676,Acrobotrys;Acrobotrys,950949,
Q25368354,Acrobotrys,http://www.wikidata.org/entity/Q25368354,950949;1357676,Acrobotrys;Acrobotrys,1357676,
Q10400171,Acrodonta,http://www.wikidata.org/entity/Q10400171,767234;1567778,Acrodonta;Acrodonta,767234,
Q21441028,Acronicta,http://www.wikidata.org/entity/Q21441028,55624;1096177,Acronicta;Acronicta,1096177,
Q21445344,Acrotrichis,http://www.wikidata.org/entity/Q21445344,172729;996882,Acrotrichis;Acrotrichis,996882,
Q21441202,Actebia,http://www.wikidata.org/entity/Q21441202,172760;1114433,Actebia;Actebia,1114433,
Q16294898,Actinella,http://www.wikidata.org/entity/Q16294898,86234;153214,Actinella;Actinella,NONE,
Q23070154,Actinella,http://www.wikidata.org/entity/Q23070154,86234;153214,Actinella;Actinella,153214,
Q50757168,Actinella,http://www.wikidata.org/entity/Q50757168,86234;153214,Actinella;Actinella,NONE,
Q119571967,Acuera,http://www.wikidata.org/entity/Q119571967,544587;638538,Acuera;Acuera,638538,
Q41150341,Adamsiella,http://www.wikidata.org/entity/Q41150341,566360;776263,Adamsiella;Adamsiella,776263,
Q10400945,Adapantus,http://www.wikidata.org/entity/Q10400945,767109;1562811,Adapantus;Adapantus,767109,
Q111939572,Adelanthus,http://www.wikidata.org/entity/Q111939572,272738;1011365,Adelanthus;Adelanthus,NONE,taxon seems to be replaced by Pyrenacantha 181119
Q13890759,Adelphia,http://www.wikidata.org/entity/Q13890759,324694;1069889,Adelphia;Adelphia,324694,
Q110901482,Adenopterus,http://www.wikidata.org/entity/Q110901482,625458;767390,Adenopterus;Adenopterus,767390,
Q119573500,Adesmia,http://www.wikidata.org/entity/Q119573500,138506;202167;1479496,Adesmia;Adesmia;Adesmia,1479496,
Q15521945,Adesmia montana,http://www.wikidata.org/entity/Q15521945,814653;1667679,Adesmia montana;Adesmia montana,814653,
Q47091388,Adischissus,http://www.wikidata.org/entity/Q47091388,924877;1694207,Adischissus;Adischissus,924877,
Q107269675,Adonis,http://www.wikidata.org/entity/Q107269675,54004;1673518,Adonis;Adonis,NONE,
Q29372944,Adoretus,http://www.wikidata.org/entity/Q29372944,355549;1508176,Adoretus;Adoretus,1508176,
Q21441058,Adscita,http://www.wikidata.org/entity/Q21441058,333235;1656767,Adscita;Adscita,1656767,
Q14574701,Aedes detritus,http://www.wikidata.org/entity/Q14574701,1244712;1466225,Aedes detritus;Aedes detritus,1244712,Wikidata doesn't seem to have the complex 1466225
Q3913364,Aenictus currax,http://www.wikidata.org/entity/Q3913364,1423958;1423949,Aenictus currax;Aenictus currax,1423958,Wikidata doesn't seem to have the complex 1423949
Q3912708,Aenictus hottai,http://www.wikidata.org/entity/Q3912708,1423960;1423959,Aenictus hottai;Aenictus hottai,1423960,Wikidata doesn't seem to have the complex 1423959
Q3914169,Aenictus javanus,http://www.wikidata.org/entity/Q3914169,1250702;1423962,Aenictus javanus;Aenictus javanus,1250702,Wikidata doesn't seem to have the complex 1423962
Q3912728,Aenictus minutulus,http://www.wikidata.org/entity/Q3912728,1423986;1423982,Aenictus minutulus;Aenictus minutulus,1423986,Wikidata doesn't seem to have the complex 1423982
Q3912255,Aenictus philippinensis,http://www.wikidata.org/entity/Q3912255,1250699;1424000,Aenictus philippinensis;Aenictus philippinensis,1250699,Wikidata doesn't seem to have the complex 1424000
Q3913700,Aenictus silvestrii,http://www.wikidata.org/entity/Q3913700,1424003;1424007,Aenictus silvestrii;Aenictus silvestrii,1424007,Wikidata doesn't seem to have the complex 1424003
Q3914191,Aenictus wroughtonii,http://www.wikidata.org/entity/Q3914191,1424018;1424008,Aenictus wroughtonii;Aenictus wroughtonii,1424018,Wikidata doesn't seem to have the complex 1424008
Q15869297,Aesa,http://www.wikidata.org/entity/Q15869297,933945;1667105,Aesa;Aesa,933945,taxon tree seems a bit incomplete on Wikidata lacking subfamily and tribe
Q13231927,Afrasura submarmorata,http://www.wikidata.org/entity/Q13231927,1302239;1364075,Afrasura submarmorata;Afrasura submarmorata,1302239,Wikidata doesn't seem to have the complex 1364075
Q105937260,Afrius,http://www.wikidata.org/entity/Q105937260,627723;1360412,Afrius;Afrius,1360412,
Q20668495,Afrocrania,http://www.wikidata.org/entity/Q20668495,1296985;1642969,Afrocrania;Afrocrania,1296985,
Q2506863,Afrocrania,http://www.wikidata.org/entity/Q2506863,1296985;1642969,Afrocrania;Afrocrania,1642969,
Q10402424,Afrophisis,http://www.wikidata.org/entity/Q10402424,767273;767600,Afrophisis;Afrophisis,767273,
Q125221278,Agalope geoffi,http://www.wikidata.org/entity/Q125221278,1579313;1579324,Agalope geoffi;Agalope geoffi,1579313,
Q21439421,Agapanthia,http://www.wikidata.org/entity/Q21439421,52439;739334,Agapanthia;Agapanthia,739334,
Q10403226,Agnesiella,http://www.wikidata.org/entity/Q10403226,1154843;1667509,Agnesiella;Agnesiella,1154843,
Q119572410,Agnesiella,http://www.wikidata.org/entity/Q119572410,1154843;1667509,Agnesiella;Agnesiella,1667509,
Q21440670,Agonum,http://www.wikidata.org/entity/Q21440670,154600;1395737,Agonum;Agonum,1395737,
Q13234250,Agonum fallax,http://www.wikidata.org/entity/Q13234250,1249451;1681224,Agonum fallax;Agonum fallax,1249451,both are correct in a way... 1249451 and 1681224 seem just to be the same species and should be merged on inat
Q21441374,Agraphydrus,http://www.wikidata.org/entity/Q21441374,641690;1396733,Agraphydrus;Agraphydrus,1396733,
Q6080542,Agriades,http://www.wikidata.org/entity/Q6080542,209734;1456512,Agriades;Agriades,1456512,here the taxon tree between inat and wiki seem to differ -- inat seems to be more up-to-date than wiki
Q4694188,Agrisius japonicus,http://www.wikidata.org/entity/Q4694188,1265680;1364097,Agrisius japonicus;Agrisius japonicus,265680,
Q108068642,Agrisius leloii,http://www.wikidata.org/entity/Q108068642,1364098;1364094,Agrisius leloii;Agrisius leloii,1364094,Wikidata doesn't seem to have the complex 1364098
Q5022943,Alaria,http://www.wikidata.org/entity/Q5022943,124813;1579828,Alaria;Alaria,1579828,
Q4712739,Albugo ipomoeae-panduratae,http://www.wikidata.org/entity/Q4712739,774949;1577655,Albugo ipomoeae-panduratae;Albugo ipomoeae-panduratae,774949,
Q21440968,Aleochara,http://www.wikidata.org/entity/Q21440968,173233;1182432,Aleochara;Aleochara,1182432,
Q4721033,Alexandromys,http://www.wikidata.org/entity/Q4721033,887381;1431458,Alexandromys;Alexandromys,1431458,the taxon tree on wikidata here seems to differ from the one in inat
Q125399249,Alexandromys,http://www.wikidata.org/entity/Q125399249,887381;1431458,Alexandromys;Alexandromys,887381,
Q134006982,Alexandromys,http://www.wikidata.org/entity/Q134006982,887381;1431458,Alexandromys;Alexandromys,1431458,
Q108526678,Alfaria,http://www.wikidata.org/entity/Q108526678,1353598;1560252,Alfaria;Alfaria,1560252,
Q118460899,Alfaria,http://www.wikidata.org/entity/Q118460899,1353598;1560252,Alfaria;Alfaria,1353598,
Q4726221,Alicia,http://www.wikidata.org/entity/Q4726221,201297;1069902,Alicia;Alicia,1069902,
Q124258740,Aliena,http://www.wikidata.org/entity/Q124258740,711681;754344;1569045,Aliena;Aliena;Aliena,1569045,
Q38834566,Allawrencius,http://www.wikidata.org/entity/Q38834566,998018;1524372,Allawrencius;?,998018,
Q21441307,Allodonta,http://www.wikidata.org/entity/Q21441307,701642;1583545,Allodonta;Allodonta,1583545,
Q50749900,Alloeorhynchus,http://www.wikidata.org/entity/Q50749900,375430;1496470,Alloeorhynchus;Alloeorhynchus,1496470,
Q125829829,Alloschizidium mateui,http://www.wikidata.org/entity/Q125829829,1616565;1616566,Alloschizidium mateui;Alloschizidium mateui,1616566,
Q10406112,Alloteratura,http://www.wikidata.org/entity/Q10406112,767545;766415,Alloteratura;Alloteratura,766415,
Q17271385,Allotropa,http://www.wikidata.org/entity/Q17271385,62482;1340655,Allotropa;Allotropa,1340655,
Q15898839,Alluaudia,http://www.wikidata.org/entity/Q15898839,83774;83776,Alluaudia;Alluaudia,83774,
Q110901502,Aloconota,http://www.wikidata.org/entity/Q110901502,172846;1496492,Aloconota;Aloconota,1496492,
Q17198593,Alsophila,http://www.wikidata.org/entity/Q17198593,142347;174610,Alsophila;Alsophila,142347,
Q20871877,Alticola,http://www.wikidata.org/entity/Q20871877,45420;1431466,Alticola;Alticola,1431466,
Q18289564,Amana,http://www.wikidata.org/entity/Q18289564,450647;785496,Amana;Amana,785496,
Q81163917,Amanita albogrisescens,http://www.wikidata.org/entity/Q81163917,1425388;1558535,Amanita albogrisescens;Amanita albogrisescens,1425388,Wikidata doesn't seem to have the complex 1558535
Q10407296,Amanita arctica,http://www.wikidata.org/entity/Q10407296,1558541;1555623,Amanita arctica;Amanita arctica,1555623,Wikidata doesn't seem to have the complex 1558541
Q107480580,Amanita basiana,http://www.wikidata.org/entity/Q107480580,1558569;1558542,Amanita basiana;Amanita basiana,1558569,Wikidata doesn't seem to have the complex 1558542
Q81164007,Amanita betulae,http://www.wikidata.org/entity/Q81164007,1391418;1558539,Amanita betulae;Amanita betulae,1391418,Wikidata doesn't seem to have the complex 1558539
Q107481226,Amanita verrucosivolva,http://www.wikidata.org/entity/Q107481226,1558553;1558580,Amanita verrucosivolva;Amanita verrucosivolva,1558580,Wikidata doesn't seem to have the complex 1558553
Q107596033,Amanita vladimirii,http://www.wikidata.org/entity/Q107596033,1558543;1558570,Amanita vladimirii;Amanita vladimirii,1558570,Wikidata doesn't seem to have the complex 1558543
Q107481276,Amanita zonata,http://www.wikidata.org/entity/Q107481276,1558551;1558575,Amanita zonata;Amanita zonata,1558575,Wikidata doesn't seem to have the complex 1558551
Q4033867,Amara,http://www.wikidata.org/entity/Q4033867,130434;539019,Amara;Amara,539019,
Q21440556,Amaryllidinae,http://www.wikidata.org/entity/Q21440556,897755;924715,Amaryllidinae;Amaryllidinae,897755,
Q21445788,Amaryllidinae,http://www.wikidata.org/entity/Q21445788,897755;924715,Amaryllidinae;Amaryllidinae,924715,
Q119166652,Amaryllis,http://www.wikidata.org/entity/Q119166652,61828;897762,Amaryllis;Amaryllis,NONE,this is weird and seems to be a mistake -- there is no actual difference between this and Q15305080 besides the hayvan (turkish for animal) in parenthesis. Both items should be merged probably
Q130404467,Amatodes,http://www.wikidata.org/entity/Q130404467,1486119;1486132,Amatodes;Amatodes,1486119,
Q135340633,Amatodes,http://www.wikidata.org/entity/Q135340633,1486119;1486132,Amatodes;Amatodes,1486132,
Q14871139,Amaurina,http://www.wikidata.org/entity/Q14871139,857272;967574,Amaurina;Amaurina,857272,
Q55394769,Amaurina,http://www.wikidata.org/entity/Q55394769,857272;967574,Amaurina;Amaurina,967574,
Q21441011,Amauris,http://www.wikidata.org/entity/Q21441011,86372;967581,Amauris;Amauris,967581,
Q4740884,Amazonia,http://www.wikidata.org/entity/Q4740884,932446;1647656,Amazonia;Amazonia,932446,
Q8197176,Amblyanthus,http://www.wikidata.org/entity/Q8197176,883488;1069906,Amblyanthus;Amblyanthus,,
Q14528472,Amblypsilopus anomalicornis,http://www.wikidata.org/entity/Q14528472,1293737;1293821,Amblypsilopus anomalicornis;Amblypsilopus anomalicornis,1293821,Wikidata doesn't seem to have the complex 1293737
Q14528549,Amblypsilopus argyrodendron,http://www.wikidata.org/entity/Q14528549,1293735;1293816,Amblypsilopus argyrodendron;Amblypsilopus argyrodendron,1293816,Wikidata doesn't seem to have the complex 1293735
Q14528535,Amblypsilopus bertiensis,http://www.wikidata.org/entity/Q14528535,1293738;1293770,Amblypsilopus bertiensis;Amblypsilopus bertiensis,1293770,Wikidata doesn't seem to have the complex 1293738
Q14528517,Amblypsilopus cyplus,http://www.wikidata.org/entity/Q14528517,1293743;1293747,Amblypsilopus cyplus;Amblypsilopus cyplus,1293747,Wikidata doesn't seem to have the complex 1293743
Q110833051,Amblypsilopus flaviappendiculatus,http://www.wikidata.org/entity/Q110833051,1293740;1293762,Amblypsilopus flaviappendiculatus;Amblypsilopus flaviappendiculatus,1293762,Wikidata doesn't seem to have the complex 1293740
Q14528546,Amblypsilopus glaciunguis,http://www.wikidata.org/entity/Q14528546,1293736;1293818,Amblypsilopus glaciunguis;Amblypsilopus glaciunguis,1293818,Wikidata doesn't seem to have the complex 1293736
Q14528443,Amblypsilopus neoplatypus,http://www.wikidata.org/entity/Q14528443,1293715;1293730,Amblypsilopus neoplatypus;Amblypsilopus neoplatypus,1293730,Wikidata doesn't seem to have the complex 1293715
Q14527495,Amblypsilopus pallidicornis,http://www.wikidata.org/entity/Q14527495,1293732;1293833,Amblypsilopus pallidicornis;Amblypsilopus pallidicornis,1293833,Wikidata doesn't seem to have the complex 1293732
Q14528522,Amblypsilopus rimbija,http://www.wikidata.org/entity/Q14528522,1293742;1293750,Amblypsilopus rimbija;Amblypsilopus rimbija,1293750,Wikidata doesn't seem to have the complex 1293742
Q14528524,Amblypsilopus topendensis,http://www.wikidata.org/entity/Q14528524,1293741;1293756,Amblypsilopus topendensis;Amblypsilopus topendensis,1293756,Wikidata doesn't seem to have the complex 1293741
Q14528446,Amblypsilopus triscuticatus,http://www.wikidata.org/entity/Q14528446,1293731;1293796,Amblypsilopus triscuticatus;Amblypsilopus triscuticatus,1293796,Wikidata doesn't seem to have the complex 1293731
Q14528533,Amblypsilopus trogon,http://www.wikidata.org/entity/Q14528533,1293739;1293765,Amblypsilopus trogon;Amblypsilopus trogon,1293765,Wikidata doesn't seem to have the complex 1293739
Q107278071,Americana,http://www.wikidata.org/entity/Q107278071,1479826;1609626,Americana;Americana,NONE,wikidata item is animalia both inat entries are plantae
Q103995714,Ammatho,http://www.wikidata.org/entity/Q103995714,985363;1364465,Ammatho;Ammatho,1364465,
Q29922240,Ammatho,http://www.wikidata.org/entity/Q29922240,985363;1364465,Ammatho;Ammatho,985363,
Q10408569,Amphiacusta annulipes,http://www.wikidata.org/entity/Q10408569,1456378;1563633,Amphiacusta annulipes;Amphiacusta annulipes,,
Q10408571,Amphiacusta bahamensis,http://www.wikidata.org/entity/Q10408571,1563643;1563645,Amphiacusta bahamensis;Amphiacusta bahamensis,,
Q10408616,Amphiacusta mona,http://www.wikidata.org/entity/Q10408616,1563653;1563654,Amphiacusta mona;Amphiacusta mona,,
Q10408631,Amphiacusta pronauta,http://www.wikidata.org/entity/Q10408631,1563656;1563669,Amphiacusta pronauta;Amphiacusta pronauta,,
Q10408651,Amphiacusta variegata,http://www.wikidata.org/entity/Q10408651,1563673;1563675,Amphiacusta variegata;Amphiacusta variegata,,
Q110901510,Amphibolia,http://www.wikidata.org/entity/Q110901510,183378;184736;966028,Amphibolia;Amphibolia;Amphibolia,966028,
Q135901817,Amphicosmus,http://www.wikidata.org/entity/Q135901817,248118;1693604,Amphicosmus;Amphicosmus,1693604,
Q61467786,Amphiodia,http://www.wikidata.org/entity/Q61467786,56671;1297104,Amphiodia;Amphiodia,,
Q61467703,Amphioplus,http://www.wikidata.org/entity/Q61467703,247034;1297126,Amphioplus;Amphioplus,,
Q20087854,Amphipogon,http://www.wikidata.org/entity/Q20087854,577086;997047,Amphipogon;Amphipogon,997047,
Q64711470,Amphitrite,http://www.wikidata.org/entity/Q64711470,194006;1223034,Amphitrite;Amphitrite,1223034,
Q25368624,Amphitrite,http://www.wikidata.org/entity/Q25368624,194006;1223034,Amphitrite;Amphitrite,NONE,The genus od algae doesn't seem to exist in inat -- only the fungi (1223034) and the animalia (194006)
Q61467803,Amphiura,http://www.wikidata.org/entity/Q61467803,55180;1297101,Amphiura;Amphiura,,
Q110589315,Amphylaeus,http://www.wikidata.org/entity/Q110589315,574418;602804,Amphylaeus;Amphylaeus,602804,
Q21439966,Amusurgus,http://www.wikidata.org/entity/Q21439966,705395;767449,Amusurgus;Amusurgus,,
Q13367623,Anacampsis psoraliella,http://www.wikidata.org/entity/Q13367623,1261868;1292281,Anacampsis psoraliella;Anacampsis psoraliella,,
Q133281855,Anacis,http://www.wikidata.org/entity/Q133281855,375481;1673455,Anacis;Anacis,,
Q21440135,Anadrymadusa,http://www.wikidata.org/entity/Q21440135,741570;767604,Anadrymadusa;Anadrymadusa,,
Q28369228,Anaglyptus,http://www.wikidata.org/entity/Q28369228,86437;1243793,Anaglyptus;Anaglyptus,,
Q4751032,Analetia,http://www.wikidata.org/entity/Q4751032,1246117;1257628,Analetia;Analetia,,
Q6490784,Ananthura,http://www.wikidata.org/entity/Q6490784,784433;937208,Ananthura;Ananthura,,
Q51844089,Ananthura,http://www.wikidata.org/entity/Q51844089,784433;937208,Ananthura;Ananthura,,
Q10410329,Anapolisia modesta,http://www.wikidata.org/entity/Q10410329,1262780;1606223,Anapolisia modesta;Anapolisia modesta,,
Q27528321,Anapoma,http://www.wikidata.org/entity/Q27528321,640849;1257630,Anapoma;Anapoma,,
Q13429525,Anarbudas bipartita,http://www.wikidata.org/entity/Q13429525,1371583;1371581,Anarbudas bipartita;Anarbudas bipartita,,
Q13369959,Anarbudas insignis,http://www.wikidata.org/entity/Q13369959,1371578;1371582,Anarbudas insignis;Anarbudas insignis,,
Q112958734,Anasimyia anausis,http://www.wikidata.org/entity/Q112958734,1144223;1239734,Anasimyia anausis;Anasimyia anausis,,
Q50745818,Anaspis,http://www.wikidata.org/entity/Q50745818,173182;1516516,Anaspis;Anaspis,,
Q87141717,Anaspis,http://www.wikidata.org/entity/Q87141717,173182;1516516,Anaspis;Anaspis,,
Q136450906,Anatherum glomeratum,http://www.wikidata.org/entity/Q136450906,1617154;1619460,Anatherum glomeratum;Anatherum glomeratum,,
Q10410511,Anaulacomera cercalis,http://www.wikidata.org/entity/Q10410511,1240009;1240010,Anaulacomera cercalis;Anaulacomera cercalis,,
Q13370822,Anaulacomera juanchoi,http://www.wikidata.org/entity/Q13370822,1240077;1240078,Anaulacomera juanchoi;Anaulacomera juanchoi,,
Q10410563,Anaulacomera poculigera,http://www.wikidata.org/entity/Q10410563,1240058;1240059,Anaulacomera poculigera;Anaulacomera poculigera,,
Q10410569,Anaulacomera schunkei,http://www.wikidata.org/entity/Q10410569,1240025;1240028,Anaulacomera schunkei;Anaulacomera schunkei,,
Q4752431,Anaxarcha acuta,http://www.wikidata.org/entity/Q4752431,749281;1659898,Anaxarcha acuta;Anaxarcha acuta,,
Q4752430,Anaxarcha graminea,http://www.wikidata.org/entity/Q4752430,749282;1659897,Anaxarcha graminea;Anaxarcha graminea,,
Q17378097,Anchieta,http://www.wikidata.org/entity/Q17378097,1049526;1180762,Anchieta;Anchieta,,
Q10411035,Ancylistes,http://www.wikidata.org/entity/Q10411035,550618;1184187;1184186,Ancylistes;Ancylistes;Ancylistes,,
Q16267095,Ancylotropis,http://www.wikidata.org/entity/Q16267095,508814;913398,Ancylotropis;Ancylotropis,,
Q105960477,Andina,http://www.wikidata.org/entity/Q105960477,964869;1578028,Andina;Andina,,
Q96078475,Andinia,http://www.wikidata.org/entity/Q96078475,140969;1425472;1433569,Andinia;Andinia;Andinia,,
Q18519513,Andiorrhinus,http://www.wikidata.org/entity/Q18519513,1502034;1502025,Andiorrhinus;Andiorrhinus,,
Q21439885,Andiorrhinus,http://www.wikidata.org/entity/Q21439885,1502034;1502025,Andiorrhinus;Andiorrhinus,,
Q61467839,Andora,http://www.wikidata.org/entity/Q61467839,349922;1297096,Andora;Andora,,
Q105483796,Andora,http://www.wikidata.org/entity/Q105483796,349922;1297096,Andora;Andora,,
Q21440361,Andrena,http://www.wikidata.org/entity/Q21440361,57669;571358,Andrena;Andrena,,
Q15958331,Andriana,http://www.wikidata.org/entity/Q15958331,464896;753485,Andriana;Andriana,,
Q15943885,Androya,http://www.wikidata.org/entity/Q15943885,941819;1093257,Androya;Androya,,
Q15490,Androya,http://www.wikidata.org/entity/Q15490,941819;1093257,Androya;Androya,,
Q10411575,Anelytra,http://www.wikidata.org/entity/Q10411575,767235;767507,Anelytra;Anelytra,,
Q107273083,Anemone,http://www.wikidata.org/entity/Q107273083,883652;1318621;1318624,Anemone;Anemone;Anemone,,
Q21346101,Anemozara,http://www.wikidata.org/entity/Q21346101,767424;766841,Anemozara;Anemozara,,
Q21218425,Anemozara,http://www.wikidata.org/entity/Q21218425,767424;766841,Anemozara;Anemozara,,
Q10411628,Anepitacta,http://www.wikidata.org/entity/Q10411628,767543;767267,Anepitacta;Anepitacta,,
Q21439472,Anisodactylus,http://www.wikidata.org/entity/Q21439472,121337;1496496,Anisodactylus;Anisodactylus,,
Q17457769,Anisomeria,http://www.wikidata.org/entity/Q17457769,519909;853973,Anisomeria;Anisomeria,,
Q111286444,Anisoptera,http://www.wikidata.org/entity/Q111286444,47927;184734;767528,Anisoptera;Anisoptera;Anisoptera,,
Q41151022,Annularia,http://www.wikidata.org/entity/Q41151022,246514;1443556,Annularia;Annularia,,
Q105134179,Annularia,http://www.wikidata.org/entity/Q105134179,246514;1443556,Annularia;Annularia,,
Q101584332,Annulata,http://www.wikidata.org/entity/Q101584332,1397999;1488097,Annulata;Annulata,,
Q30149666,Anomalina,http://www.wikidata.org/entity/Q30149666,606355;1582187,Anomalina;Anomalina,,
Q21439154,Anomotarus,http://www.wikidata.org/entity/Q21439154,375530;1496497,Anomotarus;Anomotarus,,
Q16687435,Anopheles,http://www.wikidata.org/entity/Q16687435,146949;1450476,Anopheles;Anopheles,,
Q50752446,Anoplius,http://www.wikidata.org/entity/Q50752446,173119;519173,Anoplius;Anoplius,,
Q50746242,Anoxia,http://www.wikidata.org/entity/Q50746242,245862;742029,Anoxia;Anoxia,,
Q138663520,Anteliomys,http://www.wikidata.org/entity/Q138663520,1430994;1431312,Anteliomys;Anteliomys,,
Q111286404,Antennaria,http://www.wikidata.org/entity/Q111286404,51901;421718,Antennaria;Antennaria,,
Q10413099,Antennaria,http://www.wikidata.org/entity/Q10413099,51901;421718,Antennaria;Antennaria,,
Q11841190,Anterastes babadaghi,http://www.wikidata.org/entity/Q11841190,1563880;1563881,Anterastes babadaghi;Anterastes babadaghi,,
Q10413141,Anterastes uludaghensis,http://www.wikidata.org/entity/Q10413141,1563898;1563902,Anterastes uludaghensis;Anterastes uludaghensis,,
Q18480951,Anthaxia funerula,http://www.wikidata.org/entity/Q18480951,1463909;1463908,Anthaxia funerula;Anthaxia funerula,,
Q135484059,Anthelephila imperatrix,http://www.wikidata.org/entity/Q135484059,900741;1597377,Anthelephila imperatrix;Anthelephila imperatrix,,
Q21440116,Anthia,http://www.wikidata.org/entity/Q21440116,196934;570738,Anthia;Anthia,,
Q119571568,Anthocomus,http://www.wikidata.org/entity/Q119571568,320563;1349371,Anthocomus;Anthocomus,,
Q2322600,Anthrenus pulchellus,http://www.wikidata.org/entity/Q2322600,1688282;1681182,Anthrenus pulchellus;Anthrenus pulchellus,,
Q4774635,Anticlea,http://www.wikidata.org/entity/Q4774635,118831;174611,Anticlea;Anticlea,,
Q105132228,Antimerina,http://www.wikidata.org/entity/Q105132228,422163;1595122,Antimerina;Antimerina,,
Q17397572,Antimima,http://www.wikidata.org/entity/Q17397572,184138;184731,Antimima;Antimima,,
Q14676199,Antonia,http://www.wikidata.org/entity/Q14676199,475217;639814,Antonia;Antonia,,
Q16947619,Aoria,http://www.wikidata.org/entity/Q16947619,551342;1135702,Aoria;Aoria,,
Q9624966,Aphaenogaster crocea,http://www.wikidata.org/entity/Q9624966,1428369;1458383,Aphaenogaster crocea;Aphaenogaster crocea,,
Q9625396,Aphaenogaster phalangium,http://www.wikidata.org/entity/Q9625396,1267260;1433134,Aphaenogaster phalangium;Aphaenogaster phalangium,,
Q15960490,Aphanosperma,http://www.wikidata.org/entity/Q15960490,273514;1169039,Aphanosperma;Aphanosperma,273514,
Q13383817,Aphantocephala fragilis,http://www.wikidata.org/entity/Q13383817,1319468;1371588,Aphantocephala fragilis;Aphantocephala fragilis,,
Q13383819,Aphantocephala moluccarum,http://www.wikidata.org/entity/Q13383819,1371589;1371584,Aphantocephala moluccarum;Aphantocephala moluccarum,,
Q50754623,Aphelia,http://www.wikidata.org/entity/Q50754623,173072;173071,Aphelia;Aphelia,,
Q10415316,Aphonoides australis,http://www.wikidata.org/entity/Q10415316,1261726;1261727,Aphonoides australis;Aphonoides australis,,
Q11841239,Aphonoides biangri,http://www.wikidata.org/entity/Q11841239,1261730;1261731,Aphonoides biangri;Aphonoides biangri,,
Q10415328,Aphonoides debilis,http://www.wikidata.org/entity/Q10415328,1261740;1261741,Aphonoides debilis;Aphonoides debilis,,
Q124211279,Aphyllae,http://www.wikidata.org/entity/Q124211279,1127005;1415930,Aphyllae;Aphyllae,,
Q110901536,Apis,http://www.wikidata.org/entity/Q110901536,47220;578086,Apis;Apis,578086,
Q17397573,Apluda,http://www.wikidata.org/entity/Q17397573,533150;1330605,Apluda;Apluda,,
Q7307471,Apoda,http://www.wikidata.org/entity/Q7307471,173085;1425485,Apoda;Apoda,,
Q4780163,Apodasmia,http://www.wikidata.org/entity/Q4780163,378738;892392,Apodasmia;Apodasmia,,
Q10415943,Apodesmoptera,http://www.wikidata.org/entity/Q10415943,754470;764141,Apodesmoptera;Apodesmoptera,,
Q138309703,Apoica,http://www.wikidata.org/entity/Q138309703,194057;1375242,Apoica;Apoica,,
